	ID	QID	QID_	Sentence	Codes	Themes	FirstCC	SecondCC	ThirdCC
7	R0:12			So my activity concerns how to exploit the results that will be produced, but along the project it is also possible there will be objectives that must be adapted, because if the main results are publications, the main results are - let’s say - knowledge, intangible, and [ exploitation of knowledge ] is not like having a physical product or an online platform or a service… The [project coordinator] said that at the end of the project, his desire would be that the project may lead to a spin-off.	{'business development', 'exploiting results'}	perception	{'business development', 'exploiting results'}	{'exploitation of results', 'business development'}	{'business development', 'tech transfer and exploitation of results'}
8	R0:14			Respondent - University spin-off alike.	{'spin-off', 'tech transfer'}	current situation	{'spin-off', 'tech transfer'}	{'spin-off outcome', 'technology transfer'}	{'tech transfer and market orientation'}
9	R0:24			Respondent - Well, let’s say that if I want to give a general comment for all types of projects, and so the ones similar to this one too, dissemination and communication are certainly parameters.	{'communication', 'dissemination'}	insight	{'communication', 'dissemination'}	{'communication practices', 'dissemination practices'}	{'communication practices', 'dissemination practices'}
10	R0:25			That means that there is a table, described by the European Union, that will require you to fill in numbers about achieved publications, numbers about followers on social platforms, numbers of followers on newsletters etcetera etcetera.	{'scientometrics', 'social networks metrics', 'EU policy', 'EU measures'}	insight	{'scientometrics', 'social networks metrics', 'EU policy', 'EU measures'}	{'social network metrics', 'EU innovation measures', 'scientometrics', 'EU policy framework'}	{'EU innovation measures', 'EU policy framework', 'EU innovation measures and evaluation metrics'}
11	R0:26			So [dissemination and communication] are parameters that allow us to compare different types of projects.	{'measures of innovation for a manager'}	insight	{'measures of innovation for a manager'}	{'managerial innovation measures'}	{'innovation evaluation metrics'}
12	R0:27			I believe that the prolificity of scientific publications is in itself an indicator that tells how innovative a project is.	{'measures of innovation for a manager', 'prolificity'}	perception	{'measures of innovation for a manager', 'prolificity'}	{'managerial innovation measures', 'prolificity as innovation indicator'}	{'innovation evaluation metrics'}
13	R0:28			The projectuality of the contents, of the prospected results - the projectuality itself is already a good index about the innovation of a project, otherwise one could not publish a project that was already prior-art.	{'measures of innovation for a manager', 'prolificity'}	perception	{'measures of innovation for a manager', 'prolificity'}	{'managerial innovation measures', 'prolificity as innovation indicator'}	{'innovation evaluation metrics'}
14	R0:30			Respondent - Yes there are other KPIs as well, as example, within the context of project development, there is TRL - Technology Readness Level, a parameter that is very important at level project.	{'TRL'}	insight	{'TRL'}	{'technology readiness levels'}	{'EU innovation measures and evaluation metrics'}
14	R0:30			Respondent - Yes there are other KPIs as well, as example, within the context of project development, there is TRL - Technology Readness Level, a parameter that is very important at level project.	{'TRL'}	current situation	{'TRL'}	{'technology readiness levels'}	{'EU innovation measures and evaluation metrics'}
15	R0:31			It is about a scale, set by the European Union, and projects are ranked according to this scale.	{'EU measures', 'EU measures are qualitative'}	insight	{'EU measures', 'EU measures are qualitative'}	{'EU innovation measures', 'qualitative nature of EU measures'}	{'EU innovation measures', 'EU innovation measures and evaluation metrics'}
16	R0:32			As example, on a scale 1 - 4, that means 1, representing activities of theoretical research in labs, and 4, representing the closure of a project by achieving a proof-of-concept.	{'proof-of-concept', 'qualifiers', 'theoretical', 'EU measures'}	insight	{'proof-of-concept', 'qualifiers', 'theoretical', 'EU measures'}	{'proof-of-concept', 'theoretical framing', 'EU innovation measures', 'use of qualifiers'}	{'EU innovation measures', 'data collection and reporting practices', 'coding and analysis workflow', 'prototyping and validation'}
16	R0:32			As example, on a scale 1 - 4, that means 1, representing activities of theoretical research in labs, and 4, representing the closure of a project by achieving a proof-of-concept.	{'proof-of-concept', 'qualifiers', 'theoretical', 'EU measures'}	current situation	{'proof-of-concept', 'qualifiers', 'theoretical', 'EU measures'}	{'proof-of-concept', 'theoretical framing', 'EU innovation measures', 'use of qualifiers'}	{'EU innovation measures', 'data collection and reporting practices', 'coding and analysis workflow', 'prototyping and validation'}
17	R0:33			TRL scales progresses up to level 9, that is reachability to market.	{'proof-of-concept', 'qualifiers', 'theoretical', 'EU measures'}	insight	{'proof-of-concept', 'qualifiers', 'theoretical', 'EU measures'}	{'proof-of-concept', 'theoretical framing', 'EU innovation measures', 'use of qualifiers'}	{'EU innovation measures', 'data collection and reporting practices', 'coding and analysis workflow', 'prototyping and validation'}
17	R0:33			TRL scales progresses up to level 9, that is reachability to market.	{'proof-of-concept', 'qualifiers', 'theoretical', 'EU measures'}	current situation	{'proof-of-concept', 'qualifiers', 'theoretical', 'EU measures'}	{'proof-of-concept', 'theoretical framing', 'EU innovation measures', 'use of qualifiers'}	{'EU innovation measures', 'data collection and reporting practices', 'coding and analysis workflow', 'prototyping and validation'}
18	R0:34			In between, 4 -6, there a projects that [ measures innovation] from research and development [stage] to validation of a product or a service in a real but controlled environment, like a case study created in a company.	{'product or service validation', 'EU measures'}	insight	{'product or service validation', 'EU measures'}	{'EU innovation measures', 'product or service validation'}	{'EU innovation measures', 'product or service validation'}
18	R0:34			In between, 4 -6, there a projects that [ measures innovation] from research and development [stage] to validation of a product or a service in a real but controlled environment, like a case study created in a company.	{'product or service validation', 'EU measures'}	current situation	{'product or service validation', 'EU measures'}	{'EU innovation measures', 'product or service validation'}	{'EU innovation measures', 'product or service validation'}
19	R0:35			The last TRLs are the ones from 6 to 9, that assumes innovation action taken at market level.	{'EU measures', 'market'}	insight	{'EU measures', 'market'}	{'EU innovation measures', 'market context'}	{'EU innovation measures', 'market context'}
19	R0:35			The last TRLs are the ones from 6 to 9, that assumes innovation action taken at market level.	{'EU measures', 'market'}	current situation	{'EU measures', 'market'}	{'EU innovation measures', 'market context'}	{'EU innovation measures', 'market context'}
20	R0:36			So, let’s say that innovation, in regards with EU project  - I assess innovation based on these TRLs, in my opinion the lowest TRLs represent the most innovative projects because, in them, scientific research is at top level.	{'most innovative projects are ones focused on scientific research more than tech transfer'}	perception	{'most innovative projects are ones focused on scientific research more than tech transfer'}	{'science-focused projects seen as more innovative'}	{'innovation purpose and definition'}
21	R0:37			Then, progressively, scientific research decays in favor of industrial development, so there is a mix of the two.	{'most innovative projects are ones focused on scientific research more than tech transfer'}	perception	{'most innovative projects are ones focused on scientific research more than tech transfer'}	{'science-focused projects seen as more innovative'}	{'innovation purpose and definition'}
22	R0:38			The [X] project, being funded with a low TLR, is highly innovative if I wish to classify it, and it would yield at highly innovative results with respects to level 9 TRLs, were we may have projects already in industrial phase but that may have only a performance of 60%, so [innovation] would be finding a way to improve it, but there is already something [existing].	{'maximise or optimise'}	current situation	{'maximise or optimise'}	{'optimization focus'}	{'innovation definition and purpose'}
22	R0:38			The [X] project, being funded with a low TLR, is highly innovative if I wish to classify it, and it would yield at highly innovative results with respects to level 9 TRLs, were we may have projects already in industrial phase but that may have only a performance of 60%, so [innovation] would be finding a way to improve it, but there is already something [existing].	{'maximise or optimise'}	perception	{'maximise or optimise'}	{'optimization focus'}	{'innovation definition and purpose'}
23	R0:39			Here, as you see as when I was speaking about expectation, we are not yet at the level we have an existing product or service, and we don’t know yet a the spin-off may be about.	{'innovation strategy'}	uncertainty	{'innovation strategy'}	{'innovation strategy'}	{'innovation strategy and roadmapping'}
23	R0:39			Here, as you see as when I was speaking about expectation, we are not yet at the level we have an existing product or service, and we don’t know yet a the spin-off may be about.	{'innovation strategy'}	current situation	{'innovation strategy'}	{'innovation strategy'}	{'innovation strategy and roadmapping'}
24	R0:43			An advancement with respect to the state of the art, that is incremental, and that yields an added value.	{'innovation measured as advances with respect to state of the art'}	perception	{'innovation measured as advances with respect to state of the art'}	{'innovation measured vs state of the art'}	{'state-of-the-art comparison metric'}
25	R0:44			Let’s say like this, it is any incremental process with respect to prior art that leads to some sort of benefits, that could be environmental benefits, economic benefits, social benefits…	{'innovation measured as advances with respect to state of the art'}	perception	{'innovation measured as advances with respect to state of the art'}	{'innovation measured vs state of the art'}	{'state-of-the-art comparison metric'}
26	R0:48			Respondent - …It is very difficult to answer this.	{'uncertainty about innovation steps'}	uncertainty	{'uncertainty about innovation steps'}	{'uncertainty about innovation steps'}	{'uncertainty and risk perception'}
27	R0:49			Certainly, trying to understand the state of the art, and then from there try to figure out how much you move with respect to it.	{'prior enabling posterior'}	perception	{'prior enabling posterior'}	{'prior steps enabling later outcomes'}	{'prior enabling posterior'}
28	R0:50			Controlling progress with respect to state-of-art surely is an indicator, and then on the day-by-day operations there is a working plan to abide by.	{'progress VS state-of-the-art', 'management practices'}	insight	{'progress VS state-of-the-art', 'management practices'}	{'management practices', 'progress relative to state-of-the-art'}	{'management practices', 'state-of-the-art comparison'}
29	R0:51			Surely there are also alternatives solutions to be understood - anyway, let’s say innovation starts from an identified problem to solve,  and if there is a problem to solve there is a need, and so it is an answer [to a need].	{'day-to-day working plan', 'timescale'}	perception	{'day-to-day working plan', 'timescale'}	{'daily work planning', 'timescale'}	{'day-to-day research planning', 'innovation timescale and cadence'}
30	R0:53			No? I mean, there is always an alternative that must be worse than ours, otherwise it would mean we were not innovating.	{'must help discriminate about choices'}	perception	{'must help discriminate about choices'}	{'decision support requirement'}	{'decision support and reflection'}
31	R0:54			So considering state-of-the-art, it means also look at technical solutions by competitors, that provide an alternative service, and look if theirs is state-of-the-art.	{'state-of-the-art must help look against competitors'}	insight	{'state-of-the-art must help look against competitors'}	{'state-of-the-art vs competitors'}	{'market and competitive context'}
32	R0:57			Respondent - Yes, yes, like the ones we have in our company, that belong to [X] group, we have an open innovation platform.	{'exposure to innovation management'}	current situation	{'exposure to innovation management'}	{'exposure to innovation management'}	{'exposure to innovation management tools'}
33	R0:61			For example, sharing of protected information, it is not an open-accessed platform.	{'innovation management is intellectual property management'}	insight	{'innovation management is intellectual property management'}	{'innovation management as IP management'}	{'innovation management as IP governance'}
34	R0:63			We can also access a database of clients and from there look at which managed project we supported with funding-request applications, look at partenariats and affiliated users of our so-called innovation platform and read their newsletter.	{'prior enabling posterior', 'innovation management is managing assets', 'databases as assets'}	assets	{'prior enabling posterior', 'innovation management is managing assets', 'databases as assets'}	{'innovation management as asset management', 'databases as innovation assets', 'prior steps enabling later outcomes'}	{'prior enabling posterior', 'data and databases as innovation assets', 'innovation management as asset governance'}
34	R0:63			We can also access a database of clients and from there look at which managed project we supported with funding-request applications, look at partenariats and affiliated users of our so-called innovation platform and read their newsletter.	{'prior enabling posterior', 'innovation management is managing assets', 'databases as assets'}	current situation	{'prior enabling posterior', 'innovation management is managing assets', 'databases as assets'}	{'innovation management as asset management', 'databases as innovation assets', 'prior steps enabling later outcomes'}	{'prior enabling posterior', 'data and databases as innovation assets', 'innovation management as asset governance'}
35	R0:68			We have the ability to extract data from excel and draw histograms and pie-charts, but respond to queries we run against our databases.	{'excels'}	insight	{'excels'}	{'excellence outcomes'}	{'excellence outcomes'}
36	R0:69			As example, we can extract information from the database and have an excel table, and from there have visualisations that are functional to our query, but not strictly related to innovation per-se.	{'charts'}	insight	{'charts'}	{'use of charts'}	{'tools and visualization'}
37	R0:72			Respondent - Mmmm… I don’t have a total overview of this specific project, we are partners.	{'uncertainty about genesis of innovation'}	uncertainty	{'uncertainty about genesis of innovation'}	{'uncertainty about innovation genesis'}	{'uncertainty and risk perception'}
37	R0:72			Respondent - Mmmm… I don’t have a total overview of this specific project, we are partners.	{'uncertainty about genesis of innovation'}	current situation	{'uncertainty about genesis of innovation'}	{'uncertainty about innovation genesis'}	{'uncertainty and risk perception'}
38	R0:73			But if I was project manager, I would organize periodically meetings - a meeting per month as minimum -for each work package.	{'timescale', 'periodic meetings allows an overview therefore genesis of innovation', 'meetings at least monthly for each sub-group'}	insight	{'timescale', 'periodic meetings allows an overview therefore genesis of innovation', 'meetings at least monthly for each sub-group'}	{'monthly subgroup meetings', 'timescale', 'periodic meetings enable innovation overview'}	{'coordination practices', 'innovation timescale and cadence'}
38	R0:73			But if I was project manager, I would organize periodically meetings - a meeting per month as minimum -for each work package.	{'timescale', 'periodic meetings allows an overview therefore genesis of innovation', 'meetings at least monthly for each sub-group'}	perception	{'timescale', 'periodic meetings allows an overview therefore genesis of innovation', 'meetings at least monthly for each sub-group'}	{'monthly subgroup meetings', 'timescale', 'periodic meetings enable innovation overview'}	{'coordination practices', 'innovation timescale and cadence'}
39	R0:75			There could be weekly meetings every two weeks… each week, I think more suitable for other project.	{'timescale', 'timescale for innovation is weekly'}	insight	{'timescale', 'timescale for innovation is weekly'}	{'weekly innovation timescale', 'timescale'}	{'innovation timescale and cadence'}
40	R0:80			I think it is important to involve all partners with regular frequency because dissemination and communication activities are activities where all partners are obligated to attend by the European Community, but this does not always happen depending on partners… Anyway I look for continuity at least when in key moments, if there are concrete results… For example, we have a survey and must be finalized in time and we must meet so that there is enough time to discuss and edit it so that, if we must include an important point to measure in the [research and development] pathway, we can do it so that we can get first results and discuss them in the next meeting.	{'innovation steps conceived as surveys', 'regular frequency to share innovation steps with all partners is important'}	insight	{'innovation steps conceived as surveys', 'regular frequency to share innovation steps with all partners is important'}	{'importance of regular sharing with partners', 'innovation steps as surveys'}	{'regular sharing with partners importance', 'survey-based step capture'}
40	R0:80			I think it is important to involve all partners with regular frequency because dissemination and communication activities are activities where all partners are obligated to attend by the European Community, but this does not always happen depending on partners… Anyway I look for continuity at least when in key moments, if there are concrete results… For example, we have a survey and must be finalized in time and we must meet so that there is enough time to discuss and edit it so that, if we must include an important point to measure in the [research and development] pathway, we can do it so that we can get first results and discuss them in the next meeting.	{'innovation steps conceived as surveys', 'regular frequency to share innovation steps with all partners is important'}	perception	{'innovation steps conceived as surveys', 'regular frequency to share innovation steps with all partners is important'}	{'importance of regular sharing with partners', 'innovation steps as surveys'}	{'regular sharing with partners importance', 'survey-based step capture'}
41	R0:81			However let’s say that for indicators on technical progress you should ask to other work package leaders because my role is more on the dissemination and communication side.	{'uncertainty'}	perception	{'uncertainty'}	{'uncertainty'}	{'uncertainty and risk perception'}
42	R0:85			Respondent - Certainly yes.	{'innovation steps as micro-data are certinaly valuable'}	opportunity	{'innovation steps as micro-data are certinaly valuable'}	{'value of micro-data innovation steps'}	{'innovation steps value and utility'}
43	R0:86			First of all, being of diverse expertises is extremely useful to collect diverse points of views.	{'diversity of expertises as assets'}	opportunity	{'diversity of expertises as assets'}	{'diversity of expertise as asset'}	{'diversity of expertise as innovation resource'}
44	R0:87			Anyone, the focus of our company is on the exposition [of research driven activities, so it is appropriate that, like] in this case one must have a minimum of relevant background with the project being worked on, otherwise it is extremely difficult to enter in the scientific aspects of the project itself.	{'qualified background is necessary'}	perception	{'qualified background is necessary'}	{'need for qualified background'}	{'qualified background requirement'}
45	R0:88			Hence, I have been working, I am a biomedical engineer, but then I hold a PhD on mechanical systems and have worked on a robotics lab, so even if I don’t handle all the details of the project, I have an understanding that can help in appreciating different points of views.	{'personal purpose VS working purpose', 'minimum qualified expertise'}	perception	{'personal purpose VS working purpose', 'minimum qualified expertise'}	{'tension between personal and work purpose', 'minimum expertise requirement'}	{'qualified background requirement', 'tensions between roles and purposes'}
46	R0:89			Then… you were asking… about communicating innovation as external outreach.	{'communicating innovation as external outreach is very important'}	opportunity	{'communicating innovation as external outreach is very important'}	{'high importance of innovation communication for outreach'}	{'importance of outreach communication'}
47	R0:90			Yes, that is a very important point.	{'communicating innovation as external outreach is very important'}	opportunity	{'communicating innovation as external outreach is very important'}	{'high importance of innovation communication for outreach'}	{'importance of outreach communication'}
48	R0:91			Actually dissemination, divulging science and communication must do just this.	{'communicating innovation as external outreach is very important'}	opportunity	{'communicating innovation as external outreach is very important'}	{'high importance of innovation communication for outreach'}	{'importance of outreach communication'}
48	R0:91			Actually dissemination, divulging science and communication must do just this.	{'communicating innovation as external outreach is very important'}	appropriate language	{'communicating innovation as external outreach is very important'}	{'high importance of innovation communication for outreach'}	{'importance of outreach communication'}
49	R0:93			In European [funded] projects communication is in practical terms communications towards a generic public, that is a post on linkedin social network, on the site web… that is, it must have a language comprehensible for a general citizen.	{'appropriate language'}	appropriate language	{'appropriate language'}	{'appropriate language for communication'}	{'appropriate language'}
49	R0:93			In European [funded] projects communication is in practical terms communications towards a generic public, that is a post on linkedin social network, on the site web… that is, it must have a language comprehensible for a general citizen.	{'appropriate language'}	current situation	{'appropriate language'}	{'appropriate language for communication'}	{'appropriate language'}
50	R0:94			As you said previously that there is the scientist, the communicator, the researcher : there must be a clear communication between us all first, but then it must be translated so as to be comprehensible to a common citizen, because the European Community has funded the project and it must be clear [to the public] what it is done with the money of the European Community - banally said.	{'communicating innovation is to report transparency'}	appropriate language	{'communicating innovation is to report transparency'}	{'communication as transparency reporting'}	{'communication as transparency reporting'}
51	R0:95			The part of dissemination – that is called divulging [“divulgazione”] in Italian; we are used to call it divulging in Italian but it is actually more marketing - the part of dissemination is instead more focused on the stakeholders, and moreover in this case, the stakeholders of [X] are not common citizens.	{'dissemination innovation is marketing'}	insight	{'dissemination innovation is marketing'}	{'dissemination of innovation as marketing'}	{'dissemination framed as marketing'}
52	R0:97			So there is a different action that must be taken addressing this type of stakeholder.	{'appropriate language'}	insight	{'appropriate language'}	{'appropriate language for communication'}	{'appropriate language'}
52	R0:97			So there is a different action that must be taken addressing this type of stakeholder.	{'appropriate language'}	appropriate language	{'appropriate language'}	{'appropriate language for communication'}	{'appropriate language'}
53	R0:98			So it is useful to pay attention to how to rephrase questions in surveys appropriately for the communication style of the stakeholder, because it can yield different answers.	{'language can influence types of answers (in uptaking a tech for business dev)', 'constraints of surveys'}	insight	{'language can influence types of answers (in uptaking a tech for business dev)', 'constraints of surveys'}	{'survey constraints', 'language influences responses'}	{'data collection constraints', 'appropriate language and framing'}
53	R0:98			So it is useful to pay attention to how to rephrase questions in surveys appropriately for the communication style of the stakeholder, because it can yield different answers.	{'language can influence types of answers (in uptaking a tech for business dev)', 'constraints of surveys'}	appropriate language	{'language can influence types of answers (in uptaking a tech for business dev)', 'constraints of surveys'}	{'survey constraints', 'language influences responses'}	{'data collection constraints', 'appropriate language and framing'}
54	R0:104			About impact, I think, the most important is the second one.	"{'disseminations depends on contractual agreements based on property rights', 'priority is to value innovation on behalf of partners', ""priority is to value communication for enabling partners' networks business""}"	perception	"{'disseminations depends on contractual agreements based on property rights', 'priority is to value innovation on behalf of partners', ""priority is to value communication for enabling partners' networks business""}"	{'prioritizing innovation for partners', 'prioritizing communication for partner business', 'dissemination constrained by property rights'}	{'IP constraints on dissemination', 'outreach vs partner priorities'}
55	R0:107			Yes, we start with a stakeholder analysis, identifying the categories of stakeholders that could be industries, universities, hospitals - to draw examples - so we look at categories and then in the second analysis we move on to identity who, within these categories, can be an interesting partners because an innovator.	{'mapping insterests', 'categorysing stakeholders', 'stakeholders analysis'}	opportunity	{'mapping insterests', 'categorysing stakeholders', 'stakeholders analysis'}	{'stakeholder categorization', 'mapping interests', 'stakeholder analysis'}	{'stakeholder analysis and segmentation', 'stakeholder analysis'}
55	R0:107			Yes, we start with a stakeholder analysis, identifying the categories of stakeholders that could be industries, universities, hospitals - to draw examples - so we look at categories and then in the second analysis we move on to identity who, within these categories, can be an interesting partners because an innovator.	{'mapping insterests', 'categorysing stakeholders', 'stakeholders analysis'}	current situation	{'mapping insterests', 'categorysing stakeholders', 'stakeholders analysis'}	{'stakeholder categorization', 'mapping interests', 'stakeholder analysis'}	{'stakeholder analysis and segmentation', 'stakeholder analysis'}
56	R0:108			It could be a potential competitor, or a potiential customer, so let’s say we proceed to segment even more this myriad of stakeholders and dissemination is customized.	{'innovation steps as pathways to potential customers or competitors'}	opportunity	{'innovation steps as pathways to potential customers or competitors'}	{'pathways to customers or competitors'}	{'market context'}
56	R0:108			It could be a potential competitor, or a potiential customer, so let’s say we proceed to segment even more this myriad of stakeholders and dissemination is customized.	{'innovation steps as pathways to potential customers or competitors'}	current situation	{'innovation steps as pathways to potential customers or competitors'}	{'pathways to customers or competitors'}	{'market context'}
57	R0:109			A lead doctor in a hospital will have some needs and I will aim to address a different involvement with respect to a company that manufactures sensors, or have a different approach with respect to a professor of a university.	{'segmentation'}	opportunity	{'segmentation'}	{'segmentation'}	{'stakeholder analysis and segmentation'}
57	R0:109			A lead doctor in a hospital will have some needs and I will aim to address a different involvement with respect to a company that manufactures sensors, or have a different approach with respect to a professor of a university.	{'segmentation'}	appropriate language	{'segmentation'}	{'segmentation'}	{'stakeholder analysis and segmentation'}
58	R0:111			Then, it must be protected.	{'innovation must be protected'}	insight	{'innovation must be protected'}	{'need for innovation protection'}	{'IP risk management'}
58	R0:111			Then, it must be protected.	{'innovation must be protected'}	current situation	{'innovation must be protected'}	{'need for innovation protection'}	{'IP risk management'}
59	R0:112			What we divugle, must be protected and so we have documents in place to abide by what we agreed to tell.	{'rules for dissemination'}	insight	{'rules for dissemination'}	{'dissemination rules'}	{'dissemination rules and governance'}
59	R0:112			What we divugle, must be protected and so we have documents in place to abide by what we agreed to tell.	{'rules for dissemination'}	current situation	{'rules for dissemination'}	{'dissemination rules'}	{'dissemination rules and governance'}
60	R0:113			We must pay attention even more with low TRLs, because high innovative projects translates in intellectual property and this IP must be somehow protected.	{'TRL', 'scientific projects are most innovative and therefore priority be protected by IP'}	insight	{'TRL', 'scientific projects are most innovative and therefore priority be protected by IP'}	{'technology readiness levels', 'scientific projects need IP protection'}	{'IP governance and disclosure', 'EU innovation measures and evaluation metrics'}
61	R0:114			Hence we expect more intellectual properties to be protected in these type of innovations than in projects already oriented in industrial phases, where base research is already accomplished.	{'scientific projects are most innovative and therefore priority be protected by IP'}	insight	{'scientific projects are most innovative and therefore priority be protected by IP'}	{'scientific projects need IP protection'}	{'IP governance and disclosure'}
62	R0:115			These documents are the grant agreement, that is the contract signed with the European Community about some basic principles concerning IP management, but the one that is even more important is the consortium agreement that is signed by the partners of project [X].	{'consortium agreement', 'EU policy'}	insight	{'consortium agreement', 'EU policy'}	{'EU policy framework', 'consortium agreement constraints'}	{'contractual constraints', 'EU policy framework'}
63	R0:116			There are rules to follow, for example, if I want to publish on a journal of robotics tomorrow, I must first share the proposal with other partners and ensure there is enough time to offer an answer.	{'rules for publishing', 'EU policy'}	insight	{'rules for publishing', 'EU policy'}	{'publishing rules', 'EU policy framework'}	{'publishing rules', 'EU policy framework'}
64	R0:117			If they do not in that time-lapse, then I can publish, and if they want to block publication the must justify motivations, so that publications must not violate IP agreements, so that publication must not invalidate what can be patented.	{'communicating innovation depends on the nulla-hosta of partners'}	insight	{'communicating innovation depends on the nulla-hosta of partners'}	{'dependence of communication on partner constraints'}	{'partner-dependent communication constraints'}
65	R0:118			If it does not invalidate patents, it can be published.	{'communicating innovation depends on the nulla-hosta of partners'}	insight	{'communicating innovation depends on the nulla-hosta of partners'}	{'dependence of communication on partner constraints'}	{'partner-dependent communication constraints'}
66	R0:122			Respondent - Well… in the context of European funded projects… mm… a report of this kind can be useful, but not daily, because not all researchers are allotted 100% of their time on project activities.	{'innovation steps as daily activity is not useful', 'timecosts'}	uncertainty	{'innovation steps as daily activity is not useful', 'timecosts'}	{'daily innovation steps not useful', 'time costs'}	{'time costs', 'step reporting cadence and usefulness'}
66	R0:122			Respondent - Well… in the context of European funded projects… mm… a report of this kind can be useful, but not daily, because not all researchers are allotted 100% of their time on project activities.	{'innovation steps as daily activity is not useful', 'timecosts'}	disadvantages	{'innovation steps as daily activity is not useful', 'timecosts'}	{'daily innovation steps not useful', 'time costs'}	{'time costs', 'step reporting cadence and usefulness'}
67	R0:123			But every 15 days or monthly, it could be useful.	{'innovation steps as 15-days activity is viable', 'timescale'}	opportunity	{'innovation steps as 15-days activity is viable', 'timescale'}	{'viability of 15-day steps', 'timescale'}	{'innovation timescale and cadence'}
67	R0:123			But every 15 days or monthly, it could be useful.	{'innovation steps as 15-days activity is viable', 'timescale'}	uncertainty	{'innovation steps as 15-days activity is viable', 'timescale'}	{'viability of 15-day steps', 'timescale'}	{'innovation timescale and cadence'}
68	R0:124			This is similar to the approach that the project coordinator already has: periodically, there is a minutiae on the progress activities, and is a common activity in project management.	{'innovation steps as 15-days activity is viable', 'timescale'}	opportunity	{'innovation steps as 15-days activity is viable', 'timescale'}	{'viability of 15-day steps', 'timescale'}	{'innovation timescale and cadence'}
68	R0:124			This is similar to the approach that the project coordinator already has: periodically, there is a minutiae on the progress activities, and is a common activity in project management.	{'innovation steps as 15-days activity is viable', 'timescale'}	uncertainty	{'innovation steps as 15-days activity is viable', 'timescale'}	{'viability of 15-day steps', 'timescale'}	{'innovation timescale and cadence'}
69	R0:126			On the minutiae part, there are different roles cooperating on the description of the activities.	{'permission-based roles', 'minutiae are cooperative roles'}	insight	{'permission-based roles', 'minutiae are cooperative roles'}	{'permission-based roles', 'minutiae as cooperative roles'}	{'role-based governance (permissions & decision rights)', 'minutiae as collaboration support'}
69	R0:126			On the minutiae part, there are different roles cooperating on the description of the activities.	{'permission-based roles', 'minutiae are cooperative roles'}	current situation	{'permission-based roles', 'minutiae are cooperative roles'}	{'permission-based roles', 'minutiae as cooperative roles'}	{'role-based governance (permissions & decision rights)', 'minutiae as collaboration support'}
